"","x","y","area"
"1",378081.761779,4410430.63123,32.4469803168
"2",378126.559318,4410456.9856,8.98803322193
"3",378129.58353,4410454.63803,17.4557185337
"4",378126.972905,4410452.32713,8.85819322035
"5",378127.888805,4410448.40068,4.93917598796
"6",378135.662947,4410446.84837,7.58920088982
"7",378135.74412,4410450.11675,11.6979641097
"8",378142.75698,4410432.5018,6.65309910483
"9",378142.187688,4410439.72771,15.7642367489
"10",378134.691166,4410454.31068,9.4798996767
"11",378136.674707,4410469.90732,6.27136391574
"12",378138.913515,4410469.6761,6.50802927159
"13",378136.444407,4410463.14495,7.17630134504
"14",378139.028172,4410463.94312,8.756819353
"15",378136.821296,4410459.83298,11.3414422367
"16",378139.106439,4410454.21651,5.16343053064
"17",378141.801721,4410455.24452,7.65185502334
"18",378141.187107,4410461.2842,12.0287485327
"19",378147.712267,4410436.98994,12.2095058354
"20",378145.797694,4410434.23186,12.1731734297
"21",378156.046122,4410447.13058,13.3380977865
"22",378157.382546,4410451.31214,21.5948884879
"23",378160.276262,4410446.57937,20.4265451397
"24",378162.418427,4410452.06338,29.7793395417
"25",378160.177555,4410456.44382,8.66784224192
"26",378163.938254,4410456.58959,12.5718700642
"27",378155.853505,4410455.80346,13.4829782455
"28",378153.40153,4410453.33197,13.0835847073
"29",378145.861468,4410455.53057,12.3034164398
"30",378145.944687,4410451.15826,10.9212655084
"31",378143.275639,4410451.71941,12.3075402762
"32",378138.764412,4410451.25835,16.134434443
"33",378141.623175,4410447.57456,20.2923268588
"34",378139.998238,4410444.25196,19.60583342
"35",378141.976453,4410435.25788,12.7185397817
"36",378144.796816,4410438.5015,4.09843569387
"37",378145.967074,4410442.59911,22.6463112265
"38",378151.248434,4410443.68262,13.3036780503
"39",378150.767366,4410440.22225,20.4296744963
"40",378146.719776,4410447.06693,17.9710601343
"41",378150.413716,4410450.50544,37.4194059997
"42",378142.403981,4410458.01035,14.67983971
"43",378138.011345,4410456.71072,14.4883200585
"44",378148.800606,4410456.84839,13.9882741346
"45",378145.717741,4410460.1987,15.7794505083
"46",378143.708145,4410464.17727,11.9160725356
"47",378141.071357,4410466.58698,13.6693518189
"48",378151.706644,4410457.6932,15.6728674764
"49",378155.184065,4410459.17315,15.4934225528
"50",378159.017889,4410460.65459,20.0850383295
"51",378163.335296,4410460.05029,13.3941716411
"52",378162.896364,4410463.29366,16.6501875721
"53",378167.089174,4410461.46851,13.6800086104
"54",378170.504303,4410463.13746,21.4592162997
"55",378167.748611,4410457.39254,14.5013515447
"56",378168.809775,4410453.77814,19.8645110517
"57",378173.723083,4410455.23752,14.7099311825
"58",378177.119394,4410457.16813,22.4010451939
"59",378171.296704,4410458.55807,14.8505781929
"60",378175.432321,4410462.19447,17.5517463516
"61",378171.761874,4410450.75939,12.1511865972
"62",378175.495107,4410452.21074,13.6557376102
"63",378176.13031,4410448.00346,22.2096658381
"64",378168.961359,4410447.07616,36.7920068526
"65",378164.884718,4410443.45473,42.0955775711
"66",378160.258719,4410441.1323,18.0684358088
"67",378156.543722,4410439.09573,9.9914400139
"68",378155.349292,4410442.98421,28.5428550345
"69",378159.615578,4410437.10887,12.9893725478
"70",378166.275048,4410436.96669,30.4632105661
"71",378169.951095,4410434.56092,17.7629723554
"72",378173.179711,4410436.39009,20.9229809075
"73",378172.820596,4410431.30236,22.4084789646
"74",378166.409668,4410430.19557,23.2389160211
"75",378162.473442,4410434.50318,21.9010503643
"76",378157.349481,4410434.11536,18.5526244771
"77",378154.918855,4410436.65149,4.85845159008
"78",378152.439662,4410437.28643,8.00084499755
"79",378153.840827,4410434.42702,7.5312523018
"80",378150.35336,4410434.72405,9.82017873061
"81",378151.993871,4410431.23199,14.3383271466
"82",378155.083906,4410430.49928,13.4050783747
"83",378153.968222,4410425.78214,18.9638398522
"84",378149.188231,4410429.84645,12.7772432944
"85",378145.649002,4410430.01226,12.8049047265
"86",378143.973139,4410426.9838,11.3127466441
"87",378146.69801,4410425.24605,11.6921716806
"88",378149.767111,4410425.47111,12.7044384976
"89",378151.199044,4410421.18798,25.2646674645
"90",378145.729963,4410421.01157,22.3697643606
"91",378160.521499,4410429.43192,36.4292740603
"92",378164.21754,4410421.63515,21.2464022661
"93",378166.499207,4410425.28092,15.968053879
"94",378176.94145,4410435.06467,10.8213142069
"95",378171.463926,4410440.64971,18.3207387187
"96",378176.238171,4410440.88184,30.6497028673
"97",378181.817473,4410438.22621,27.8436376849
"98",378182.014662,4410434.1401,20.5309550472
"99",378179.362828,4410431.21629,16.3992823454
"100",378185.734365,4410430.17644,17.2384067321
"101",378186.492849,4410425.09881,14.8516333375
"102",378191.417839,4410426.95431,23.2723359676
"103",378196.843016,4410426.85742,19.2358695701
"104",378200.867781,4410429.57837,20.9089799915
"105",378199.992055,4410425.22966,10.1912726134
"106",378204.74486,4410429.02011,33.5756842863
"107",378201.779405,4410422.06538,21.5571741764
"108",378195.95258,4410421.96897,18.3692123586
"109",378191.628231,4410421.84106,24.4723203811
"110",378187.020854,4410421.48987,13.667223512
"111",378183.147089,4410421.66142,13.8416366251
"112",378179.572609,4410425.38755,24.91971775
"113",378187.474262,4410432.43095,6.07570098871
"114",378187.059369,4410434.9396,6.10364493147
"115",378187.492672,4410437.97759,14.1954389676
"116",378186.869637,4410441.50455,15.749507714
"117",378189.350837,4410444.32951,14.9682171659
"118",378183.114802,4410442.66713,14.9585872602
"119",378181.98887,4410445.93636,19.3226752856
"120",378180.980787,4410449.76703,18.9863690078
"121",378187.379383,4410451.85026,20.9901853557
"122",378186.323371,4410447.84632,18.4602623825
"123",378191.080048,4410449.12765,20.0659320589
"124",378193.635256,4410446.30385,15.1068901877
"125",378191.981328,4410441.94529,11.5689635482
"126",378196.666157,4410443.18565,22.3847597478
"127",378201.492733,4410442.89877,19.6108917707
"128",378205.900769,4410446.23441,43.3062581976
"129",378201.982265,4410450.67582,29.197527033
"130",378197.210725,4410448.60532,18.3286096893
"131",378194.042289,4410452.10637,12.8891743168
"132",378197.743575,4410452.76898,10.45308991
"133",378190.898823,4410455.45832,18.3314098643
"134",378180.900666,4410454.51014,29.4384547484
"135",378184.993893,4410456.51814,27.2413184559
"136",378185.727421,4410460.76923,11.3391112033
"137",378181.061954,4410461.18031,16.5642851565
"138",378182.490121,4410464.55133,7.27916466672
"139",378186.93186,4410465.2099,29.3320120453
"140",378189.985657,4410460.89111,23.4907712851
"141",378178.535392,4410463.69819,10.4462050082
"142",378172.589413,4410465.85726,13.6282017772
"143",378174.973689,4410467.58166,9.50382725044
"144",378179.239014,4410467.20309,17.9421841742
"145",378184.210489,4410468.23614,16.130337241
"146",378191.950634,4410470.34673,26.4002739557
"147",378193.653108,4410463.25671,8.90738789137
"148",378192.208987,4410466.21569,16.5437258931
"149",378203.786851,4410457.22301,13.1566683335
"150",378199.929461,4410456.67874,13.30367805
"151",378196.900685,4410456.55831,8.86907603158
"152",378194.603856,4410458.57941,26.6405913349
"153",378201.877564,4410454.39762,7.24561213729
"154",378206.071194,4410459.21814,11.6543691936
"155",378207.351059,4410462.8858,14.0744087398
"156",378198.161514,4410461.43527,6.56643337897
"157",378201.637179,4410462.23227,28.8576164305
"158",378197.858078,4410467.29464,38.6355005273
"159",378201.917647,4410471.95652,26.3648214548
"160",378205.078608,4410467.17752,25.2955772376
"161",378182.212065,4410474.96285,17.2276414427
"162",378178.557028,4410471.43309,7.75485582473
"163",378174.392507,4410471.97639,24.9142917873
"164",378177.83613,4410474.52113,13.7887833977
"165",378178.031419,4410478.30685,25.7553400346
"166",378183.753803,4410480.71203,38.2725850405
"167",378195.472318,4410473.21603,16.4651031596
"168",378191.593295,4410474.50733,13.4411540586
"169",378191.595599,4410477.82219,24.6015367516
"170",378187.09802,4410470.78902,6.62721561432
"171",378187.116808,4410473.97049,12.717023012
"172",378182.176272,4410471.09735,14.8936348599
"173",378170.918521,4410469.33645,13.33251531
"174",378166.873221,4410466.7793,18.7615502714
"175",378162.187661,4410467.41479,19.8225082769
"176",378164.409382,4410470.77833,10.4180875988
"177",378168.131099,4410470.98162,12.9703901676
"178",378167.994406,4410474.33542,9.10340082027
"179",378164.485721,4410474.85619,14.4617675666
"180",378161.438402,4410472.34326,11.8019810466
"181",378158.080983,4410473.14087,16.9179617055
"182",378160.555738,4410476.92399,13.6004976333
"183",378157.246467,4410477.49141,13.9659217499
"184",378171.239764,4410475.76725,20.487552171
"185",378157.366137,4410467.22174,30.5920190763
"186",378155.113932,4410462.65679,9.94925179461
"187",378150.318703,4410461.8669,14.0346993213
"188",378147.025439,4410463.53036,10.209366126
"189",378147.214927,4410466.35157,12.7461604558
"190",378152.179471,4410465.61173,20.0177966842
"191",378152.654712,4410470.38729,20.5262218906
"192",378148.407765,4410469.97957,14.8115775648
"193",378152.763276,4410475.97671,39.4530199943
"194",378144.462857,4410477.44067,15.4626205348
"195",378142.493723,4410469.28855,12.921719613
"196",378145.104619,4410471.50724,13.9659217465
"197",378141.056139,4410473.65641,25.2896599348
"198",378137.490443,4410474.08814,10.2122740098
"199",378140.440066,4410478.13598,16.5798942766
"200",378148.093723,4410479.0818,24.4751399338
"201",378132.344062,4410474.01776,15.4010164676
"202",378128.694553,4410473.21933,15.9342450375
"203",378132.666997,4410457.29669,13.5029189214
"204",378122.2424,4410455.41397,18.3259352191
"205",378123.395875,4410450.87477,27.5033461075
"206",378131.808158,4410450.42389,23.9527206252
"207",378130.715139,4410445.67557,15.4257753925
"208",378133.97134,4410444.93097,9.60030392001
"209",378136.991247,4410442.90166,7.69081835509
"210",378139.062019,4410439.56918,11.4546933386
"211",378140.403464,4410430.39023,19.7928833607
"212",378137.394946,4410427.92461,18.9981891944
"213",378121.0971,4410426.16355,7.26647958495
"214",378117.422402,4410427.4984,14.1521340361
"215",378118.896214,4410423.92658,12.3088373664
